iter	Passed	Remaining
440	2130	284
441	2134	280
442	2138	275
443	2144	270
444	2148	265
445	2153	260
446	2158	255
447	2162	251
448	2167	246
449	2171	241
450	2176	236
451	2180	231
452	2185	226
453	2189	221
454	2194	217
455	2199	212
456	2203	207
457	2208	202
458	2212	197
459	2217	192
460	2221	187
461	2226	183
462	2230	178
463	2234	173
464	2239	168
465	2244	163
466	2248	158
467	2252	154
468	2257	149
469	2261	144
470	2266	139
471	2270	134
472	2275	129
473	2279	125
474	2284	120
475	2289	115
476	2293	110
477	2298	105
478	2303	100
479	2308	96
480	2312	91
481	2317	86
482	2321	81
483	2326	76
484	2330	72
485	2335	67
486	2339	62
487	2344	57
488	2348	52
489	2352	48
490	2357	43
491	2361	38
492	2365	33
493	2369	28
494	2374	23
495	2378	19
496	2383	14
497	2387	9
498	2392	4
499	2397	0
