iter	Passed	Remaining
432	2316	358
433	2322	353
434	2326	347
435	2330	342
436	2335	336
437	2339	331
438	2344	325
439	2349	320
440	2355	315
441	2359	309
442	2365	304
443	2371	299
444	2375	293
445	2379	288
446	2385	282
447	2390	277
448	2395	272
449	2400	266
450	2405	261
451	2412	256
452	2418	250
453	2423	245
454	2428	240
455	2434	234
456	2438	229
457	2443	224
458	2448	218
459	2453	213
460	2457	207
461	2462	202
462	2482	198
463	2487	192
464	2491	187
465	2511	183
466	2516	177
467	2520	172
468	2524	166
469	2529	161
470	2534	156
471	2539	150
472	2543	145
473	2549	139
474	2553	134
475	2558	128
476	2562	123
477	2567	118
478	2571	112
479	2576	107
480	2581	101
481	2585	96
482	2590	91
483	2594	85
484	2599	80
485	2604	75
486	2608	69
487	2613	64
488	2617	58
489	2623	53
490	2627	48
491	2632	42
492	2636	37
493	2641	32
494	2646	26
495	2651	21
496	2656	16
497	2661	10
498	2666	5
499	2671	0
